,architecture,num_epochs,num_processes,threads,is_distributed,training_time,accuracy,avg_loss,batch_size
331,conv,2,4,14,y,18.269420385360718,13.643333333333333,2.2898435092608134,256
332,conv,2,2,12,y,13.177417278289795,29.761666666666667,2.286868720149994,256
333,conv,2,2,7,y,13.75846004486084,47.30166666666667,2.2462527526219684,128
334,conv,2,3,2,y,11.087870836257935,21.545,2.2684366717974345,256
335,conv,2,4,11,y,11.265251636505127,24.308333333333334,2.2541546610196432,256
336,conv,2,2,7,y,24.749812602996826,83.315,0.7214132735451062,32
337,conv,2,3,4,y,10.27465271949768,26.38,2.2490550598780312,256
338,conv,2,2,8,y,12.663986921310425,19.205,2.2930967864672342,256
339,conv,2,4,3,y,8.80261516571045,17.833333333333332,2.28698696902593,256
340,conv,2,3,15,y,59.21675205230713,82.75833333333334,0.6299107510407765,32
341,conv,2,3,5,y,15.27456784248352,85.26333333333334,0.5403454843560854,32
342,conv,2,3,16,y,179.9734890460968,90.865,0.3118192646505932,12
343,conv,2,2,5,y,14.000247955322266,48.20666666666666,2.1544603880882263,128
344,conv,2,3,2,y,11.19289517402649,42.675,2.201873690923055,128
345,conv,2,2,10,y,35.34024930000305,84.47,0.5601244313240051,32
346,conv,2,4,4,y,11.303789138793945,86.53166666666667,0.4850073570340872,32
347,conv,2,4,12,y,10.764421463012695,25.47833333333333,2.2523643907546997,256
348,conv,2,3,2,y,11.817485570907593,46.05166666666667,2.2513782190322877,128
349,conv,2,4,13,y,15.034003019332886,9.831666666666667,2.299627916717529,256
350,conv,2,2,9,y,15.372962713241577,56.86833333333333,2.1385744805335998,128
351,conv,2,4,4,y,9.327804327011108,64.50666666666666,2.0180387223879497,64
352,conv,2,4,4,y,8.350045442581177,28.56,2.2486496022542317,256
353,conv,2,3,8,y,11.298003435134888,18.145,2.269760251204173,256
354,conv,2,3,2,y,16.632593154907227,89.98166666666667,0.3289289003296445,12
355,conv,2,4,12,y,22.266088485717773,77.61333333333333,1.1484959759791693,64
356,conv,2,2,16,y,77.52445697784424,84.07166666666667,0.5765574447214603,32
